ZipCode,2015,2018
78681,,16.919933229724293
78702,,17.474999999999994
78703,,11.121951219512205
78704,,16.747289407839872
78705,,8.3206106870229
78717,,13.913751017087073
78721,,31.021194605009626
78722,,3.177394770782027
78723,,18.54284861152582
78724,,29.384102279043912
78725,,35.353548387096765
78726,,14.367816091954033
78727,,21.052631578947366
78728,,24.63526469362234
78729,,16.323556203315714
78730,,9.192546583850936
78731,,15.384615384615374
78732,,10.000000000000009
78733,,2.8387096774193488
78734,,13.423268817693113
78735,,15.04424778761062
78736,,18.167832167832177
78737,,10.32183908045976
78738,,3.6252158894645836
78739,,12.359325842696634
78741,,43.85754301720688
78744,,23.261224691846948
78745,,22.222222222222232
78746,,13.809523809523805
78747,,13.061479476217897
78748,,18.507118122354747
78749,,15.418435415403264
78750,,15.476190476190466
78751,,16.666666666666675
78752,,16.705568522840952
78753,,23.809523809523814
78754,,24.99951923076924
78756,,15.92233009708739
78757,,15.999999999999993
78758,,31.578947368421062
78759,,8.421052631578952
