Zipcode,2015_Population,2016_Population,2017_Population,2018_Population
78681,54923.0,56086.0,57234.0,50606.0
78701,7051.0,7401.0,7875.0,6841.0
78702,21477.0,22617.0,22876.0,21334.0
78703,20530.0,20815.0,20788.0,19690.0
78704,44668.0,46474.0,47158.0,42117.0
78705,32346.0,32414.0,33075.0,31340.0
78712,828.0,848.0,845.0,860.0
78717,26072.0,27101.0,27764.0,22538.0
78719,1485.0,1762.0,2007.0,1764.0
78721,12508.0,12153.0,12447.0,11425.0
78722,7006.0,7292.0,7254.0,5901.0
78723,32155.0,32496.0,33170.0,28330.0
78724,23612.0,24558.0,24833.0,21696.0
78725,7343.0,7931.0,7517.0,6083.0
78726,13027.0,13925.0,14610.0,13122.0
78727,29354.0,29085.0,28999.0,26689.0
78728,21081.0,21858.0,21245.0,20299.0
78729,29386.0,30151.0,29434.0,27108.0
78730,8871.0,9038.0,8933.0,7955.0
78731,26595.0,27401.0,27447.0,24614.0
78732,16269.0,16851.0,17762.0,14060.0
78733,8930.0,8886.0,8754.0,8762.0
78734,18948.0,18997.0,18722.0,17655.0
78735,17438.0,16948.0,17919.0,16131.0
78736,7621.0,7951.0,8199.0,6946.0
78737,14544.0,14731.0,15879.0,12081.0
78738,14795.0,14970.0,15746.0,12134.0
78739,18442.0,19564.0,20191.0,16792.0
78741,51770.0,51981.0,52307.0,44935.0
78742,748.0,714.0,517.0,820.0
78744,46408.0,47211.0,48432.0,42820.0
78745,59758.0,61317.0,62220.0,55614.0
78746,27928.0,27971.0,28268.0,26928.0
78747,18544.0,19876.0,20954.0,14808.0
78748,46679.0,47966.0,49142.0,40651.0
78749,36210.0,36478.0,37453.0,34449.0
78750,28626.0,29991.0,30758.0,26814.0
78751,14441.0,14648.0,14949.0,14385.0
78752,20153.0,19902.0,20302.0,18064.0
78753,55077.0,56131.0,58693.0,49301.0
78754,19020.0,21764.0,23858.0,15036.0
78756,8908.0,8798.0,8377.0,7194.0
78757,23118.0,23611.0,24059.0,21310.0
78758,46972.0,46506.0,46618.0,44072.0
78759,40629.0,41415.0,41847.0,38891.0
